"MAVIR LEADERS COLLEGE, Olodi-Apapa",Privately owned,Ajeromi LGA,Secondary, ," 0802 844 3447,     0803 321 4992","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4459"",""Read more"")"
"MAY DAY COLLEGE, Surulere",Privately owned,Surulere,Secondary, maydaycollege@yahoo.com," 0802 443 4737  or  0706 572 9960, 0802 312 9828, 0803 573 1368","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1859"",""Read more"")"
MAYA COMMUNITY JUNIOR GRAMMAR SCHOOL,State owned,Ikorodu,Secondary, mayacjgsch@lagosschoolsonline.com, 0802 375 7664,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/896"",""Read more"")"
MAYA COMMUNITY SENIOR GRAMMAR SCHOOL,State owned,Ikorodu,Secondary, mayacomsnrs@lagosschoolsonline.com, 0802-839-4191,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12306"",""Read more"")"
"MAYORS HEIGHT COLLEGE, Allen Avenue",Privately owned, Ikeja,Secondary, mayorsheight@yahoo.com," 0802 444 5494,  0803 321 3222,      0803 301 1498, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5649"",""Read more"")"
"MAYPRIDE SECONDARY SCHOOL,  Ipaja",Privately owned,Alimosho,Secondary, maypridenps2006@yahoo.co.uk," 01-8965916,   08033234838","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1868"",""Read more"")"
"MBARI MBAYO SECONDARTY SCHOOL, Jibowu",Privately owned,Lagos-Mainland,Secondary, mbarimbayoschool@yahoo.com,"  0805 359 9946, 0805 399 9950,   0803 357 1602,    01-8194290,    0802 243 9708 / 01-7949901","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4131"",""Read more"")"
"McROYAL COLLEGE, Iju",Privately owned,Ifako/Ijaiye,Secondary, mcroyalourschool@yahoo.com," 0802 331 2212,       0803 711 8552","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3624"",""Read more"")"
"MEDAL MERIT HIGH SCHOOL, Igando",Privately owned,Alimosho,Secondary, , 0802 317 2636,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8364"",""Read more"")"
MEIRAN COMM. JNR HIGH SCH. Meiran,State owned,Alimosho,Secondary, , 0803 326 0120,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1795"",""Read more"")"
"MEIRAN COMMUNITY HIGH SCHOOL, Meiran",State owned,Alimosho,Secondary, meirancomsnr2013@gmail.com, 0802 191 7105,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10276"",""Read more"")"
MEIRAN COMMUNITY SENIOR HIGH SCHOOL. Meiran,State owned,Alimosho,Secondary, meiransenior@lagosschoolsonline.com, 07038126086,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1734"",""Read more"")"
"MELVILLE COLLEGE, Ojudu Berger",Privately owned, Ikeja,Secondary, melvilleschools01@yahoo.com, 0802 835 1751,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/48840"",""Read more"")"
"MEMKAD SECONDARY SCHOOL, Ikotun",Privately owned,Alimosho,Secondary, kadiri_lateef@yahoo.com," 0706 054 4824,   0802 816 8756,    0805 034 7025","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5409"",""Read more"")"
"MENDE JUNIOR HIGH SCHOOL, Maryland",State owned,Kosofe,Secondary, mendejnrhsch@lagosschoolsonline.com, 0803 721 2009,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9751"",""Read more"")"
"MENDE SENIOR HIGH SCHOOL, Maryland",State owned,Kosofe,Secondary, mendesenior@lagosschoolsonline.com, 0802 368 1749,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9807"",""Read more"")"
"MERCY COLLEGE, Ojokoro",Privately owned,Ifako/Ijaiye,Secondary, ," 0802 308 4618,   0807 729 5181,   01-736 3674, 0803-427-3003","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3784"",""Read more"")"
"MERCY DAY HIGH SCHOOL, Isolo",Privately owned,Oshodi-Isolo,Secondary, ," 0803 516 3232,   0708 782 7054","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8398"",""Read more"")"
"MERFIS INTERNATIONAL SCHOOL, Akesan",Privately owned,Alimosho,Secondary, ," 0803 321 5610, 0802 317 0125","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/74505"",""Read more"")"
"MERITHA HIGH SCHOOL, Ojo",Privately owned,Ojo,Secondary, merithahighschool@hotmail.com," 0803 712 0128,   0803 061 1148","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/6790"",""Read more"")"
"MERITLAND COLLEGE,  Igborosun",Privately owned, Badagry ,Secondary, jaideluvs@yahoo.com," 0812 641 1070,   0808 099 2299,   0704 289 6115","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7987"",""Read more"")"
"METHODIST BOYS HIGH SCHOOL, Victorial  Island",Privately owned,Eti-Osa,Secondary, www.mbhslagos@yahoo.com," 0803 436 0212,  0806 278 7526,  or   01-871 6882","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3104"",""Read more"")"
"METHODIST GIRLS HIGH SCHOOL,Yaba",Privately owned,Lagos-Mainland,Secondary, mghs-yaba@yahoo.com," 0802 319 2873,  0802 394 4519,  01-892 2130  &   0706 969 2798","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4314"",""Read more"")"
"METHODIST JUNIOR HIGH SCHOOL, Badagry",State owned, Badagry ,Secondary, methjnrhigh@lagosschoolsonline.com, 0805 535 2148,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/544"",""Read more"")"
"METHODIST SENIOR HIGH SCHL,  Badagry",State owned, Badagry ,Secondary, methsnbadgry@lagosschoolsonline.com, 0805 305 5752,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/432"",""Read more"")"
METROPOLITAN JUNIOR COLLEGE,State owned,Oshodi-Isolo,Secondary, , 08033074299,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/949"",""Read more"")"
"METROPOLITAN SENIOR COLLEGE, Isolo",State owned,Oshodi-Isolo,Secondary, metrosnrcoll@yahoo.com, 08023059493,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1335"",""Read more"")"
"MEU VICTORY COMPREHENSIVE COLLEGE, Idimu",Privately owned,Alimosho,Secondary, info@meuvictoryschools.com," 0802 324 3650,     0803 816 8661, 0708 557 8903 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3452"",""Read more"")"
"MIC- FLOW COMPREHENSIVE HIGH SCHOOL, Egan ",Privately owned,Alimosho,Secondary, mic-flowschools@yahoo.com," 0802 083 0545,     0803 714 8885","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5389"",""Read more"")"
"MICTEC INTERNATIONAL HIGH SCHOOL, Ogudu Ojota",Privately owned,Kosofe,Secondary, info @mictecschools.com," 0802 820 9475,    01 813 3359","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5452"",""Read more"")"
"MIGHTY OAKS COMPREHENSIVE COLLEGE, Igbogila Ipaja",Privately owned,Alimosho,Secondary," oja2agu@yahoo.com, mightyoakscollege@yahoo.com"," 0708 664 1584     0702 804 6548, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5549"",""Read more"")"
"MIKE COMPREHENSIVE HIGH SCHOOL, Igbede Town",Privately owned,Ojo,Secondary, mikecomprehensive.sch@gmail.com," 0803 216 8989,   0810 863 6180.","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3463"",""Read more"")"
"MILA SECONDARY SCHOOL, Ayobo",Privately owned,Alimosho,Secondary, milaschools@yahoo.com, 0703 197 2676,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/66409"",""Read more"")"
"MILLBANK HALL SECONDARY SCHOOL, Iba",Privately owned,Ojo,Secondary, ," 0803-322-4027,  0803 344 4498,   01-877 6817 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3478"",""Read more"")"
"MILLENIUM SENIOR SECONDARY SCHOOL, Egbeda",State owned,Alimosho,Secondary, millssegbeda@lagosschoolsonline.com," 08054651514, 08023126104","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9543"",""Read more"")"
"MIMAK COLLEGE, Alakuko",Privately owned,Ifako/Ijaiye,Secondary, mimakschools@yahoo.com," 0803 718 8252,  0806 711 8846,   01-7611242,     0806 711 8846, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5536"",""Read more"")"
"MINISTERS INTERNATIONAL COLLEGE, Isheri",Privately owned,Kosofe,Secondary, ayodele2326@yahoo.com," 0802 326 7392, 0806 647 5917","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7027"",""Read more"")"
"MISAM COLLEGE, Ajasa",Privately owned,Alimosho,Secondary, misamsch@yahoo.com," 0802 583 9399, 0816 552 5978","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7161"",""Read more"")"
"MIVARA SECONDARY SCHOOL, Tedi Town",Privately owned,Ojo,Secondary, mivaraschools@yahoo.com," 0803-869-7056,      0803-583-5891","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3468"",""Read more"")"
"MOBOLAJI BANK ANTHONY JUNIOR HIGH SCHOOL, Sabo-Yaba",State owned,Lagos-Mainland,Secondary, mobolajibajs@lagosschoolsonline.com," 0705 689 3836  or  0803 305 3656,   0705 689 3837","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2613"",""Read more"")"
"MOCPED INTERNATIONAL SECONDARY SCHOOL, Noforija",Privately owned,Epe,Secondary, mocpedcu@gmail.com," 0813 795 2425, 0808 458 8896","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/76021"",""Read more"")"
"MOKOYA SENIOR HIGH SCHOOL, Tolu",State owned,Ajeromi LGA,Secondary, mokoyas87@yahoo.com, '08023073465,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9836"",""Read more"")"
MOLAJOYE COM HIGH SCH,State owned,Epe,Secondary, , 8023880205,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1093"",""Read more"")"
MOLAJOYE COMMUNITY JUNIOR HIGH SCHOOL,State owned,Epe,Secondary, , 8052037711,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/572"",""Read more"")"
MOLAJOYE COMMUNITY JUNIOR HIGH SCHOOL,State owned,Alimosho,Secondary, molajoyecommjnrschepe@lagosschoolsonline.com, 0805 203 7711,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12225"",""Read more"")"
"MOLAKS HIGH SCHOOL, Iju-Ishaga",Privately owned,Ifako/Ijaiye,Secondary, molaks2000@yahoo.com," 0802 351 3813,  0803 384 3482","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7922"",""Read more"")"
"MOLAN HIGH SCHOOL, Ikotun",Privately owned,Alimosho,Secondary, molanhighschool@yahoo.com," 0806 272 3458,    0803 300 7297","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5640"",""Read more"")"
"MOONLIGHT COLLEGE, Olodi-Apapa",Privately owned,Ajeromi LGA,Secondary, , 01-791-3437    or    0802-319-5445.,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3618"",""Read more"")"
"MORETTE VILLE SCHOOL, Ladi-Lak",Privately owned, Shomolu,Secondary, morrettevilleschools@gmail.com, 0803 723 3003,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/79014"",""Read more"")"
MOROCCO COMPREHENSIVE JUNIOR HIGH SCHOOL,State owned, Shomolu,Secondary, moroccohigh@lagosschoolsonline.com, 0806-244-4508,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/964"",""Read more"")"
"MOSHELEN HIGH SCHOOL, Ejigbo",Privately owned,Oshodi-Isolo,Secondary, moshelenhighschll@yahoo.com," 0803 603 8042,   0709 800 7440","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5678"",""Read more"")"
"MOUNT OF SAINTS ROYAL COLLEGE, Ilemeta",Privately owned,Alimosho,Secondary, mountsofsaints@gmails.com," 0902 465 3227, 0805 520 7338","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/64357"",""Read more"")"
"MOUNT ZION ACADEMY,  Okota",Privately owned,Oshodi-Isolo,Secondary, ," 0803 804 9083, 0805 774 5170","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2968"",""Read more"")"
"MOUNTAIN TOP SEC.SCHL, Iwaya",Privately owned,Lagos-Mainland,Secondary, moutaintopschools@yahoo.com," 0802 847 6870,  0703 269 1858,  or  0709 876 7070","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3085"",""Read more"")"
"MULTIGRACE COLLEGE, Iyana-Ipaja",Privately owned,Alimosho,Secondary, , 0803 396 9969,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105304"",""Read more"")"
"MURTALA MUHAMMED AIRPORT SECONDARY SCHOOL, Ikeja",Privately owned, Ikeja,Secondary, mmasecschool@yahoo.com, 0803 349 0346,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4776"",""Read more"")"
"MUSHIN COMM SENIOR HIGH SCHOOL, Idi-Araba ",State owned, Mushin,Secondary, mushincomm82@lagosschoolsonline.com, 08053228246,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1300"",""Read more"")"
"MUSHIN COMMUNITY JUNIOR HIGH SCHOOL,  Idi-Araba",State owned, Mushin,Secondary, mushincommjn@lagosschoolsonline.com, 08027853488,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/638"",""Read more"")"
MUSHIN HIGH SCHOOL OKOTA,State owned,Oshodi-Isolo,Secondary, , 08028317637,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1337"",""Read more"")"
MUSHIN JUNIOR BOYÃ¢â¬â¢S HIGH SCHOOL,State owned,Oshodi-Isolo,Secondary, , 08023112897,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/950"",""Read more"")"
MUSHIN JUNIOR HIGH SCHOOL,State owned,Oshodi-Isolo,Secondary, , 08023439175,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/951"",""Read more"")"
"MUSLIM JUNIOR COLLEGE, Egbe",State owned,Alimosho,Secondary, muscojnregbe@lagosschoolsonline.com, 08028075207,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1798"",""Read more"")"
"MUSLIM JUNIOR COLLEGE, Oworonsoki",State owned,Kosofe,Secondary, muslimjnrcol@lagosschoolsonline.com, 0805 558 1022,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2547"",""Read more"")"
"MUSLIM SENIOR COLLEGE, Oworonsoki",State owned,Kosofe,Secondary, muscosenior@lagosschoolsonline.com, 08023094741,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9797"",""Read more"")"
"MUSLIM TEENS COLLEGE, Ijegun ",Privately owned,Alimosho,Secondary, ," 0805 243 5198, 0803 435 6220","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/48816"",""Read more"")"
MUWO GRAMMAR SCHOOL,State owned,Amuwo-Odofin,Secondary, , 08023178727,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1043"",""Read more"")"
"NATIONAL COLLEGE, Gbagada ",Privately owned,,Secondary, , ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5653"",""Read more"")"
"NATIONAL COLLEGE, Gbagada",Privately owned, Shomolu,Secondary, principal@nationalcollege.org," 0805 624 6164,   0803 352 2954, 0803 770 2589","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7905"",""Read more"")"
"NAVINA COLLEGE, Etegbin",Privately owned,Ojo,Secondary, ," 0806 264 9153, 0806 504 1852, 0808 809 5517","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12559"",""Read more"")"
"NAVY TOWN JUNIOR SECONDARY SCHOOL, Navy Town",State owned,Amuwo-Odofin,Secondary, NTJSS@lagosschoolsonline.com,  0803 321 0112,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/538"",""Read more"")"
"NAVY TOWN SENIOR SEC. SCHOOL, Ojo",State owned,Amuwo-Odofin,Secondary, navytownsrse@lagosschoolsonline.com, 0802 931 9577,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1815"",""Read more"")"
"NAWAR-UD-DEEN SENIOR HIGH SCHOOL, Ebute Metta",State owned,Lagos-Mainland,Secondary, nawairsnrhi@lagosschoolsonline.com," '08033252543, 07056893814","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1282"",""Read more"")"
NAZARETH COLLEGE,State owned,Epe,Secondary, , 08055326486,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1095"",""Read more"")"
"NAZARETH JUNIOR COLLEGE,  Ibonwon",State owned,Epe,Secondary, nazarethjuniorcollegeibonwon@lagosschoolsonline.com," 0803 372 9757,0805 143 8370 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1754"",""Read more"")"
"NEW CHRISFIELD COLLEGE, Itamaga",Privately owned,Ikorodu,Secondary, mail@chrisfieldschools.com," 0808 217 7155,  0805 543 8408,  0802 260 0944","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9045"",""Read more"")"
"NEW CONVENANT HIGH SCHOOL, Isolo",Privately owned,Oshodi-Isolo,Secondary, newcovenantschools@yahoo.com," 0802-859-4147,     0802-859-4147","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3657"",""Read more"")"
"NEW EDITION COLLEGE, Ikotun",Privately owned,Alimosho,Secondary, , 070 331 05733  0809 902 6557,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/48837"",""Read more"")"
"NEW ERA GIRLS JUNIOR SECONDARY SCHOOL, Surulere",State owned,Surulere,Secondary, neweragirljr@lagosschoolsonline.com," 0806 021 8517,  0815 082 0176","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/990"",""Read more"")"
"NEW ERA GIRLS SENIOR SECONDARY SCHOOL, Surulere",State owned,Surulere,Secondary, neweragrlsnr@lagosschoolsonline.com," 0802 314 2757,  0809 899 5595,  0705 689 3884 , ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1371"",""Read more"")"
"NEW ESTATE BAPTIST SECONDARY SCHOOL, Surulere",Privately owned,Surulere,Secondary, nebschool@nebc.com, 0802 496 0467,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/66354"",""Read more"")"
"NEW FOUNDATION SECONDARY SCHOOL, Amuwo-Festac",Privately owned,Amuwo-Odofin,Secondary, oluyideukachi@hotmail.com," 0816 114 8000, 0818 951 3595","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10055"",""Read more"")"
"NEW FOUNTAIN SECONDARY SCHOOL,Amuwo odofin",Privately owned,Amuwo-Odofin,Secondary, info@newfountainschools.com.ng," 0816 114 8000, 0818 951 3595","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/78917"",""Read more"")"
"NEW HALL INTERNATIONAL COLLEGE, Lekki",Privately owned,Eti-Osa,Secondary, info@newhallschool.com.ng," 0803 339 5673,  01 453 4270","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/91645"",""Read more"")"
"NEW LAGOS COLLEGE, Onipanu",Privately owned, Mushin,Secondary, principal@newcollege.org," 0803 306 6496,  0702 937 5500,   01 854 9318","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3605"",""Read more"")"
"NEW OCEAN COMPREHENSIVE HIGH SCHOOL, Oworonsoki",Privately owned,Kosofe,Secondary, newoceanschools@hotmail.com," 0802 322 7527, 0810 249 6459,   0806 038 8858,   01-734 2578","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3918"",""Read more"")"
"NEW STATE HIGH SCHOOL, Mushin",Privately owned, Mushin,Secondary, atiladebishop@yahoo.com," 0802 304 5431,    0803 348 0145","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3729"",""Read more"")"
"NEW-TECH COLLEGE, New Oko-Oba",Privately owned,Ifako/Ijaiye,Secondary, ," 0802 339 9754, 0803 408 6146","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10781"",""Read more"")"
"NEWBREED LILIES COLLEGE, Ikotun",Privately owned,Alimosho,Secondary, olawuyiomobolalealake@yahoo.com, 0803 316 4433   or    0818 277 0456,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3141"",""Read more"")"
"NEWLAND JNR SEC. SCHL, Tolu-Apapa",State owned,Ajeromi LGA,Secondary, eddv1newlandjnrsecondaryschool@yahoo.com, 0802 400 7823,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2135"",""Read more"")"
"NEWLAND SENIOR SECONDARY SCHL, Tolu",State owned,Ajeromi LGA,Secondary, newlandssst@lagosschoolsonline.com, '08090537802,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2138"",""Read more"")"
"NEWTON COLLEGE, Okokomaiko",Privately owned,Ojo,Secondary, ," 0803 337 4423, 0816 644 0433   0803 486 4367","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4556"",""Read more"")"
"NEWTREND SCHOOLS, Ijegun",Privately owned,Alimosho,Secondary, , 0802 318 8633   or   0802 606 6149.,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3567"",""Read more"")"
"NIGERIA PREMIER COLLEGE, Mushin",Privately owned, Mushin,Secondary, PREMIERLEGACY@YAHOO.COM," 0803 375 8566, 0802 784 9003","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5568"",""Read more"")"
"NIGERIAN  TURKISH  INTERNATIONAL COLLEGE, Ikeja",Privately owned, Ikeja,Secondary, nticlagos@gmail.com," 0706 292 1564,   01-774 9545","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49456"",""Read more"")"
"NIGERIAN MODEL HIGH SCHOOL, Idi-Oro",Privately owned, Mushin,Secondary, nigmodelschools@yahoo.com," 0803 348 3297, 0802 319 9985","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10949"",""Read more"")"
"NIGHTINGALE ACADEMY, Alagbado",Privately owned,Alimosho,Secondary, , 0803 304 9950   or   0706 371 7862,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3535"",""Read more"")"
"NIKKY-BEE COMPREHENSIVE HIGH SCHOOL, Idimu",Privately owned,Alimosho,Secondary, nikkybee2006@yahoo.com," 0802 354 0494,      0803 301 1224","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4625"",""Read more"")"
"NISTECH INTERNATIONAL COLLEGE, Egbeda",Privately owned,Alimosho,Secondary, nistechcollege@yahoo.com," 0803 600 4900, 0805 193 3731","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4957"",""Read more"")"
"NODOS COLLEGE PRIVATE CO- EDUCATION, Owode",Privately owned,Kosofe,Secondary, nods@yahoo.com," 0816 477 2791, 0803 395 7847,  0802 398 9139,   0806 388 2178","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8032"",""Read more"")"
"NODOS INTERNATIONAL SECONDARY SCHOOL, Ojo",Privately owned,Ojo,Secondary, nodos_sec@yahoo.com," 0803 717 9766, 0803 839 1880","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8139"",""Read more"")"
"NOJIU KENKU MEM. HIGH SCH. FORMERLY JIBRIL MARTIN HIGH SCH, Agege",Privately owned,Agege,Secondary, anwarulislam1916@yahoo.com," 01-817 4562,      0806 562 6063","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2216"",""Read more"")"
Normadie College,Privately owned,Surulere,Secondary, , 08034004236,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105463"",""Read more"")"
"NORMAL COLLEGE, Ogba",Privately owned,Ifako/Ijaiye,Secondary, ," 0803 218 1369,     0803 477 7749,     0703 252 3232","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5652"",""Read more"")"
"NOWA SECONDARY SCHOOL, Navy Town",Privately owned,Amuwo-Odofin,Secondary, , 0802 304 1099,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10017"",""Read more"")"
"NOWA SECONDARY SCHOOL, Ojo",Privately owned,Ojo,Secondary, , 0803 304 6578,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3389"",""Read more"")"
"NUBI COLLEGE, Okota",Privately owned,Oshodi-Isolo,Secondary, jnfo@nubischoolsng.com," 0802 352 6243,     0802 300 2308,    0805 552, 9086","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5552"",""Read more"")"
"O MARK COLLEGE, Igando ",Privately owned,Alimosho,Secondary, adeogundeinde@yahoo.com," 0802 371 1092,  0803 336 0177","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4528"",""Read more"")"
"O TEGA COLLEGE, Lajo",Privately owned,Ikorodu,Secondary, otegaschools@yahoo.com," 0807 961 0042,  0805 424 8866","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49072"",""Read more"")"
"OAK INTERNATIONAL COLLEGE,  Aguda-Ogba",Privately owned, Ikeja,Secondary, , 0817 187 6842 or   0803 401 6901,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3293"",""Read more"")"
"OBA ADELANI GBOGBOADE MEMORIAL COLLEGE, Ijeshatedo",Privately owned,Surulere,Secondary, ," 0802 318 7802,  0803 712 4122","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9533"",""Read more"")"
"OBA MORUFU OJOOLA JNR HIGH SCHL,  Orisunmibare",State owned,Alimosho,Secondary, omorufojnrhs@lagosschoolsonline.com, 0803 582 3522,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/393"",""Read more"")"
"OBELE COMMUNITY JUNIOR HIGH SCHL, Surulere",State owned,Surulere,Secondary, obelejnr@lagosschoolsonline.com," '08034065614, 08150820178","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1991"",""Read more"")"
"OBELE COMMUNITY SNR HIGH SCHOOL, Surulere",State owned,Surulere,Secondary, obelecshschl@lagosschoolsonline.com, 0803 320 3613 or 0705 689 3886,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/991"",""Read more"")"
"OCEAN SPRINGS COLLEGE, Ayobo ",Privately owned,Alimosho,Secondary, oceanspringsedu@gmail.com, 0803 330 6721,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10698"",""Read more"")"
"OCHAD COLLEGE, Gbagada",Privately owned,Kosofe,Secondary, ," 0802 207 7248, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49024"",""Read more"")"
"ODAFIN HIGH SCHOOL, Magbon",Privately owned, Badagry ,Secondary, dafson.dafon@.gmail.com," 0803 245 9863, 0802 754 8636","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/78896"",""Read more"")"
ODO-OBARA HIGH SCH,State owned,Epe,Secondary, , 8033925782,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1096"",""Read more"")"
